dataset_index,episode_index,frame_index,target_gripper,predicted_gripper,target_is_close,predicted_is_close,target_delta_x,target_delta_y,target_delta_z,predicted_delta_x,predicted_delta_y,predicted_delta_z
27,0,27,1.0,1.0021291971206665,0,0,0.0,0.0,-1.0,-0.0015373845817521214,0.0018231665017083287,-0.04470880329608917
28,0,28,1.0,1.0035243034362793,0,0,0.0,0.0,-1.0,-0.0026806164532899857,0.001541623962111771,-0.04530588537454605
29,0,29,1.0,1.007188081741333,0,0,0.0,0.0,-1.0,-0.0029363571666181087,0.0015538099687546492,-0.05220690369606018
30,0,30,1.0,1.0077024698257446,0,0,0.0,0.0,-1.0,-0.0025126938708126545,0.002575910883024335,-0.02556888945400715
31,0,31,1.0,1.0066369771957397,0,0,0.0,0.0,-1.0,-0.002490272279828787,0.0016099862987175584,-0.033525411039590836
32,0,32,1.0,1.0062100887298584,0,0,0.0,0.0,0.0,-0.0031475136056542397,0.0022414028644561768,-0.03154773637652397
33,0,33,1.0,1.006557583808899,0,0,0.0,0.0,0.0,-0.003145824186503887,0.0023592342622578144,-0.030336176976561546
34,0,34,1.0,1.0062057971954346,0,0,0.0,0.0,0.0,-0.002997945062816143,0.0026258586440235376,-0.027024034410715103
35,0,35,1.0,1.006200909614563,0,0,0.0,0.0,0.0,-0.0029957029037177563,0.002623599488288164,-0.026979608461260796
36,0,36,1.0,1.0071221590042114,0,0,0.0,0.0,0.0,-0.002879320178180933,0.0023736765142530203,-0.025245700031518936
37,0,37,1.0,1.0071216821670532,0,0,0.0,0.0,0.0,-0.0028791623190045357,0.002373508643358946,-0.025242865085601807
38,0,38,2.0,1.0083026885986328,1,0,0.0,0.0,0.0,-0.003096562810242176,0.002394694834947586,-0.021687811240553856
39,0,39,2.0,1.009879231452942,1,0,0.0,0.0,0.0,-0.0014933765633031726,0.0008944912697188556,0.0415695495903492
40,0,40,2.0,1.006734848022461,1,0,0.0,0.0,0.0,-0.002111461479216814,0.001242968486621976,0.09060211479663849
41,0,41,2.0,1.007439136505127,1,0,0.0,0.0,0.0,-0.002643160056322813,0.0004517793422564864,0.36575743556022644
42,0,42,2.0,1.0022473335266113,1,0,0.0,0.0,0.0,-0.006462626159191132,0.0006794158834964037,0.889397144317627
43,0,43,2.0,1.0021629333496094,1,0,0.0,0.0,0.0,-0.007631288841366768,-0.00038636481622233987,0.9878786206245422
