dataset_index,episode_index,frame_index,target_gripper,predicted_gripper,target_is_close,predicted_is_close,target_delta_x,target_delta_y,target_delta_z,predicted_delta_x,predicted_delta_y,predicted_delta_z
17,0,17,1.0,0.9951150417327881,0,0,0.0,0.0,0.0,-0.0033653811551630497,0.004514122381806374,-0.04569869861006737
18,0,18,1.0,0.9951149225234985,0,0,0.0,0.0,0.0,-0.0033653853461146355,0.004514111205935478,-0.04569867253303528
19,0,19,1.0,0.9951149225234985,0,0,0.0,0.0,0.0,-0.00336539838463068,0.004514122381806374,-0.045698702335357666
20,0,20,1.0,0.9951150417327881,0,0,0.0,0.0,0.0,-0.0033653811551630497,0.004514130763709545,-0.04569860175251961
21,0,21,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.003365390468388796,0.004514130763709545,-0.045698653906583786
22,0,22,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.00336539838463068,0.004514133557677269,-0.045698609203100204
23,0,23,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.0033653820864856243,0.004514116793870926,-0.04569864273071289
24,0,24,1.0,0.9953700304031372,0,0,0.0,0.0,0.0,-0.003361600451171398,0.004552908707410097,-0.04489404335618019
25,0,25,1.0,0.9953700304031372,0,0,0.0,0.0,0.0,-0.003361624665558338,0.004552888683974743,-0.044894084334373474
26,0,26,1.0,0.9961740970611572,0,0,0.0,0.0,-1.0,-0.003242028411477804,0.004369724076241255,-0.04484573379158974
27,0,27,1.0,0.9975841641426086,0,0,0.0,0.0,-1.0,-0.0031472104601562023,0.004393852781504393,-0.04244513064622879
28,0,28,1.0,0.9986591339111328,0,0,0.0,0.0,-1.0,-0.003969511017203331,0.004188004415482283,-0.03951597213745117
29,0,29,1.0,1.0021284818649292,0,0,0.0,0.0,-1.0,-0.003977491520345211,0.00420684739947319,-0.04748869314789772
30,0,30,1.0,1.0007166862487793,0,0,0.0,0.0,-1.0,-0.00507568521425128,0.004671985283493996,-0.024081943556666374
31,0,31,1.0,1.003351092338562,0,0,0.0,0.0,-1.0,-0.005280445329844952,0.004794880747795105,-0.03079601190984249
32,0,32,1.0,1.0041730403900146,0,0,0.0,0.0,0.0,-0.005387826822698116,0.0041550323367118835,-0.021448390558362007
33,0,33,1.0,1.0047626495361328,0,0,0.0,0.0,0.0,-0.005029642954468727,0.004379651043564081,-0.018835963681340218
34,0,34,1.0,1.0039607286453247,0,0,0.0,0.0,0.0,-0.0050902352668344975,0.003888083389028907,-0.012744507752358913
35,0,35,1.0,1.0039597749710083,0,0,0.0,0.0,0.0,-0.005087877158075571,0.0038856645114719868,-0.012703564018011093
36,0,36,1.0,1.0041475296020508,0,0,0.0,0.0,0.0,-0.0047472575679421425,0.003595860907807946,-0.013573376461863518
37,0,37,1.0,1.0041470527648926,0,0,0.0,0.0,0.0,-0.004746904131025076,0.0035956958308815956,-0.013570833951234818
38,0,38,2.0,1.0052112340927124,1,0,0.0,0.0,0.0,-0.005201567430049181,0.004115160088986158,-0.007605802733451128
39,0,39,2.0,1.0032618045806885,1,0,0.0,0.0,0.0,-0.004287150222808123,0.0034053842537105083,0.04399266839027405
40,0,40,2.0,1.00057053565979,1,0,0.0,0.0,0.0,-0.004744367208331823,0.0030096019618213177,0.08718209713697433
41,0,41,2.0,0.9970950484275818,1,0,0.0,0.0,0.0,-0.005600087344646454,0.003387095406651497,0.29393744468688965
42,0,42,2.0,0.9962735772132874,1,0,0.0,0.0,0.0,-0.00896336231380701,0.003654567990452051,0.864706814289093
43,0,43,2.0,0.9961351752281189,1,0,0.0,0.0,0.0,-0.007677765563130379,0.003326968988403678,0.9676913619041443
44,0,44,1.0,0.9986457824707031,0,0,0.0,0.0,0.0,-0.008375915698707104,0.004375849384814501,1.0640647411346436
45,0,45,1.0,0.9968129396438599,0,0,0.0,0.0,0.0,-0.007406182587146759,0.003426637500524521,1.0642021894454956
46,0,46,1.0,0.9919666647911072,0,0,0.0,0.0,0.0,-0.006153566297143698,0.0029037860222160816,1.0674854516983032
47,0,47,1.0,0.9943351745605469,0,0,0.0,0.0,0.0,-0.005106755997985601,0.0017069047316908836,1.0524187088012695
48,0,48,1.0,0.9960890412330627,0,0,0.0,0.0,0.0,-0.003004893194884062,0.0023255222477018833,1.1230247020721436
49,0,49,1.0,1.000244379043579,0,0,0.0,0.0,0.0,-0.0034333202056586742,0.0017900257371366024,1.0824158191680908
50,0,50,1.0,0.997448205947876,0,0,0.0,0.0,0.0,-0.004297015257179737,0.00369150098413229,1.127925992012024
51,0,51,1.0,0.9967182874679565,0,0,0.0,0.0,1.0,-0.0036684367805719376,0.0034879676532000303,1.1356722116470337
52,0,52,1.0,0.9927706718444824,0,0,0.0,0.0,1.0,-0.002920120023190975,0.0030849853064864874,1.1396592855453491
53,0,53,1.0,0.99219810962677,0,0,0.0,0.0,1.0,-0.004627888556569815,0.003487108275294304,1.1461950540542603
54,0,54,1.0,0.9937814474105835,0,0,0.0,0.0,1.0,-0.002732748631387949,0.0041242665611207485,1.1596055030822754
55,0,55,1.0,0.9905903339385986,0,0,0.0,0.0,1.0,-0.003219194244593382,0.0035258133430033922,1.1062346696853638
56,0,56,1.0,0.9862736463546753,0,0,0.0,0.0,1.0,-0.0010947884293273091,0.0029553768690675497,1.0990947484970093
57,1,0,1.0,0.9951313734054565,0,0,0.0,0.0,0.0,-0.0032910415902733803,0.00474624615162611,-0.04669897258281708
58,1,1,1.0,0.9951441884040833,0,0,0.0,0.0,0.0,-0.0032231402583420277,0.004708904307335615,-0.04691051319241524
59,1,2,1.0,0.9954971075057983,0,0,0.0,0.0,0.0,-0.0032251542434096336,0.0046528540551662445,-0.04455781355500221
60,1,3,1.0,0.9955037832260132,0,0,0.0,0.0,0.0,-0.0032202363945543766,0.004650513641536236,-0.04453019052743912
61,1,4,1.0,0.9947049021720886,0,0,0.0,0.0,0.0,-0.0033209226094186306,0.004583276808261871,-0.046174634248018265
62,1,5,1.0,0.9947047233581543,0,0,0.0,0.0,0.0,-0.0033195032738149166,0.004582689143717289,-0.046159777790308
63,1,6,1.0,0.9952432513237,0,0,0.0,0.0,0.0,-0.003268674947321415,0.004621175583451986,-0.04532923549413681
64,1,7,1.0,0.9952429533004761,0,0,0.0,0.0,0.0,-0.0032684006728231907,0.004620987921953201,-0.045324474573135376
65,1,8,1.0,0.9951816201210022,0,0,0.0,0.0,0.0,-0.0033785030245780945,0.0044365134090185165,-0.045726317912340164
66,1,9,1.0,0.9951814413070679,0,0,0.0,0.0,0.0,-0.0033784182742238045,0.004436446353793144,-0.04572469741106033
67,1,10,1.0,0.9951151013374329,0,0,0.0,0.0,0.0,-0.0033654463477432728,0.004514183849096298,-0.04569953680038452
68,1,11,1.0,0.9951150417327881,0,0,0.0,0.0,0.0,-0.0033654198050498962,0.004514167085289955,-0.045699212700128555
69,1,12,1.0,0.9951149225234985,0,0,0.0,0.0,0.0,-0.0033654188737273216,0.00451415590941906,-0.045698974281549454
70,1,13,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.0033654039725661278,0.004514130763709545,-0.0456988587975502
71,1,14,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.0033654016442596912,0.004514139145612717,-0.04569882154464722
72,1,15,1.0,0.9951150417327881,0,0,0.0,0.0,0.0,-0.003365392331033945,0.004514147527515888,-0.04569874331355095
73,1,16,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.003365396521985531,0.0045141251757740974,-0.04569876566529274
74,1,17,1.0,0.9951149225234985,0,0,0.0,0.0,0.0,-0.0033653853461146355,0.004514113999903202,-0.0456986166536808
75,1,18,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.0033654016442596912,0.004514113999903202,-0.045698631554841995
76,1,19,1.0,0.9951149821281433,0,0,0.0,0.0,0.0,-0.0033653872087597847,0.004514113999903202,-0.045698635280132294
77,1,20,1.0,0.9967042207717896,0,0,1.0,0.0,0.0,-0.003418107982724905,0.004426718223839998,-0.043757278472185135
78,1,21,1.0,1.0001884698867798,0,0,0.0,0.0,0.0,-0.003151470795273781,0.004085152875632048,-0.04398326203227043
79,1,22,1.0,0.9976083040237427,0,0,0.0,0.0,0.0,-0.003580885473638773,0.004396145232021809,-0.04332501441240311
80,1,23,1.0,0.9976937770843506,0,0,0.0,0.0,0.0,-0.0035031531006097794,0.004311361350119114,-0.04079250618815422
81,1,24,1.0,0.9972336888313293,0,0,0.0,0.0,0.0,-0.003452140837907791,0.0038771822582930326,-0.04281418398022652
82,1,25,1.0,0.9971392750740051,0,0,0.0,0.0,0.0,-0.003457497339695692,0.003983090631663799,-0.042239490896463394
83,1,26,1.0,0.9960824847221375,0,0,0.0,0.0,0.0,-0.0036546248011291027,0.0036903785075992346,-0.03912566229701042
84,1,27,1.0,0.9960804581642151,0,0,0.0,0.0,0.0,-0.003658431116491556,0.0036912853829562664,-0.03914221003651619
85,1,28,1.0,0.995922327041626,0,0,0.0,0.0,0.0,-0.0035653067752718925,0.003608385566622019,-0.038342539221048355
86,1,29,1.0,0.9959230422973633,0,0,0.0,0.0,0.0,-0.003565802238881588,0.003608469618484378,-0.03835210204124451
87,1,30,1.0,0.9956614375114441,0,0,0.0,0.0,0.0,-0.0035992860794067383,0.003619667375460267,-0.037714634090662
88,1,31,1.0,0.9956618547439575,0,0,0.0,0.0,0.0,-0.003599428106099367,0.0036196785513311625,-0.03771817684173584
89,1,32,1.0,0.9957660436630249,0,0,0.0,0.0,0.0,-0.003617397043853998,0.0035707750357687473,-0.038096774369478226
90,1,33,1.0,0.995766282081604,0,0,0.0,0.0,0.0,-0.0036174124106764793,0.003570783417671919,-0.038098111748695374
91,1,34,1.0,0.9954630136489868,0,0,-1.0,0.0,0.0,-0.0036503816954791546,0.0043026357889175415,-0.04247664660215378
92,1,35,1.0,0.9961221814155579,0,0,0.0,0.0,0.0,-0.003921466879546642,0.004309144336730242,-0.035678308457136154
93,1,36,1.0,0.9968225359916687,0,0,0.0,0.0,0.0,-0.0035014236345887184,0.004147552419453859,-0.043038517236709595
94,1,37,1.0,0.9976466298103333,0,0,0.0,0.0,0.0,-0.0031541013158857822,0.004514931235462427,-0.03877308964729309
95,1,38,1.0,0.9950253963470459,0,0,0.0,0.0,0.0,-0.003250568173825741,0.004660703707486391,-0.044265590608119965
96,1,39,1.0,0.995248019695282,0,0,0.0,0.0,0.0,-0.0032076193019747734,0.004777353722602129,-0.04499988257884979
97,1,40,1.0,0.9953448176383972,0,0,0.0,0.0,0.0,-0.0032712272368371487,0.00454396428540349,-0.045360323041677475
98,1,41,1.0,0.9953490495681763,0,0,0.0,0.0,0.0,-0.003269784152507782,0.004542152862995863,-0.045340269804000854
99,1,42,1.0,0.995136022567749,0,0,0.0,0.0,0.0,-0.0032141278497874737,0.004691917449235916,-0.04538583755493164
100,1,43,1.0,0.9951362013816833,0,0,0.0,0.0,0.0,-0.0032139220274984837,0.004691537003964186,-0.045378487557172775
