dataset_index,episode_index,frame_index,target_gripper,predicted_gripper,target_is_close,predicted_is_close,target_delta_x,target_delta_y,target_delta_z,predicted_delta_x,predicted_delta_y,predicted_delta_z
0,0,0,1.0,0.9969793558120728,0,0,0.0,0.0,0.0,-0.0016528050182387233,0.0010166434803977609,-0.019431833177804947
1,0,1,1.0,0.9971498250961304,0,0,0.0,0.0,0.0,-0.0016597387148067355,0.0010184029815718532,-0.01958911493420601
2,0,2,1.0,0.9970252513885498,0,0,0.0,0.0,0.0,-0.0015584778739139438,0.0009898794814944267,-0.019375238567590714
3,0,3,1.0,0.9970234036445618,0,0,0.0,0.0,0.0,-0.001547400956042111,0.0009919985895976424,-0.019382070749998093
4,0,4,1.0,0.9970479607582092,0,0,0.0,0.0,0.0,-0.0015744626289233565,0.0010398494778200984,-0.02022612653672695
5,0,5,1.0,0.9970479607582092,0,0,0.0,0.0,0.0,-0.0015729937003925443,0.0010401041945442557,-0.020219339057803154
6,0,6,1.0,0.9973873496055603,0,0,0.0,0.0,0.0,-0.0015305065317079425,0.0010050985729321837,-0.019309651106595993
7,0,7,1.0,0.997387707233429,0,0,0.0,0.0,0.0,-0.0015303111867979169,0.0010051069548353553,-0.019305888563394547
8,0,8,1.0,0.9973554015159607,0,0,0.0,0.0,0.0,-0.0015453078085556626,0.0009978872258216143,-0.01949545554816723
9,0,9,1.0,0.9973554611206055,0,0,0.0,0.0,0.0,-0.001545295468531549,0.0009978788439184427,-0.019494174048304558
10,0,10,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.0015954422997310758,0.0010082003427669406,-0.019440487027168274
11,0,11,1.0,0.9973481893539429,0,0,0.0,0.0,0.0,-0.0015954718692228198,0.0010081975487992167,-0.01944011077284813
12,0,12,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.0015954606933519244,0.0010081821819767356,-0.019439944997429848
13,0,13,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.0015954504488036036,0.001008175197057426,-0.01943984627723694
14,0,14,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.001595455571077764,0.0010081849759444594,-0.019439740106463432
15,0,15,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.0015954581322148442,0.0010081779910251498,-0.01943967677652836
16,0,16,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.0015954422997310758,0.0010081905638799071,-0.01943969540297985
17,0,17,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.001595455571077764,0.0010081696091219783,-0.019439637660980225
18,0,18,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.0015954513801261783,0.0010081724030897021,-0.019439632073044777
19,0,19,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.001595455571077764,0.001008173800073564,-0.019439663738012314
20,0,20,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.001595455571077764,0.0010081541258841753,-0.019439613446593285
21,0,21,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.0015954530099406838,0.0010081710061058402,-0.01943966932594776
22,0,22,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.0015954474220052361,0.0010081668151542544,-0.01943964511156082
23,0,23,1.0,0.9973481297492981,0,0,0.0,0.0,0.0,-0.001595444860868156,0.0010081626242026687,-0.019439615309238434
24,0,24,1.0,0.9974170327186584,0,0,0.0,0.0,0.0,-0.0016135867917910218,0.001022180775180459,-0.019285179674625397
25,0,25,1.0,0.9974170327186584,0,0,0.0,0.0,0.0,-0.0016135965706780553,0.0010221835691481829,-0.019285118207335472
26,0,26,1.0,0.9979903697967529,0,0,0.0,0.0,-1.0,-0.0016302469884976745,0.0010130448499694467,-0.018201244994997978
27,0,27,1.0,0.9981228113174438,0,0,0.0,0.0,-1.0,-0.0019486657110974193,0.0008574280655011535,-0.029305648058652878
28,0,28,1.0,0.9997698068618774,0,0,0.0,0.0,-1.0,-0.002087939064949751,0.0003962104383390397,-0.0453316830098629
29,0,29,1.0,1.0024558305740356,0,0,0.0,0.0,-1.0,-0.0021671652793884277,0.0005744256195612252,-0.05599377676844597
30,0,30,1.0,1.003746509552002,0,0,0.0,0.0,-1.0,-0.0019794716499745846,0.0005482242559082806,-0.05409754067659378
31,0,31,1.0,1.006781816482544,0,0,0.0,0.0,-1.0,-0.0019178848015144467,0.0005097179673612118,-0.03968191519379616
32,0,32,1.0,1.0069462060928345,0,0,0.0,0.0,0.0,-0.0020562978461384773,0.0006522276671603322,-0.026076361536979675
33,0,33,1.0,1.0077399015426636,0,0,0.0,0.0,0.0,-0.0022138692438602448,0.0007354200934059918,-0.026751141995191574
34,0,34,1.0,1.0089941024780273,0,0,0.0,0.0,0.0,-0.0020922506228089333,0.0005629857187159359,-0.021764574572443962
35,0,35,1.0,1.009000301361084,0,0,0.0,0.0,0.0,-0.0020941197872161865,0.0005642804317176342,-0.021671302616596222
36,0,36,1.0,1.0092793703079224,0,0,0.0,0.0,0.0,-0.001982283778488636,0.0005229830858297646,-0.018937982618808746
37,0,37,1.0,1.0092792510986328,0,0,0.0,0.0,0.0,-0.001982003916054964,0.0005228739464655519,-0.01892849989235401
38,0,38,2.0,1.0153428316116333,1,0,0.0,0.0,0.0,-0.0020733559504151344,0.00018597104644868523,-0.023333599790930748
39,0,39,2.0,1.281699776649475,1,0,0.0,0.0,0.0,0.0031549958512187004,0.0005114676314406097,-0.04722501337528229
40,0,40,2.0,1.2698012590408325,1,0,0.0,0.0,0.0,0.0015688353450968862,0.0018478030106052756,-0.03033728152513504
41,0,41,2.0,1.212258219718933,1,0,0.0,0.0,0.0,0.001567307161167264,0.0018737349892035127,-0.03949825093150139
42,0,42,2.0,1.109631061553955,1,0,0.0,0.0,0.0,0.0005758051993325353,-0.0006821677088737488,-0.10373234748840332
43,0,43,2.0,1.0808316469192505,1,0,0.0,0.0,0.0,0.000262832036241889,-0.001417043269611895,-0.10655102133750916
44,0,44,1.0,1.0163875818252563,0,0,0.0,0.0,0.0,-0.0012808068422600627,-0.0011833558091893792,-0.06357558816671371
45,0,45,1.0,0.9939130544662476,0,0,0.0,0.0,0.0,-0.0013605711283162236,-0.0002412823960185051,0.07898973673582077
46,0,46,1.0,0.9917969107627869,0,0,0.0,0.0,0.0,-0.0013492932775989175,-0.0007226915331557393,0.24496635794639587
47,0,47,1.0,0.9969601035118103,0,0,0.0,0.0,0.0,-0.003619655966758728,0.0008862035465426743,0.8604112863540649
48,0,48,1.0,0.9972859621047974,0,0,0.0,0.0,0.0,-0.0025686719454824924,0.001703878864645958,0.8567007780075073
49,0,49,1.0,0.9981657862663269,0,0,0.0,0.0,0.0,-0.00312803965061903,0.0016057256143540144,0.8622027635574341
50,0,50,1.0,0.998447597026825,0,0,0.0,0.0,0.0,-0.0027306280098855495,0.0016638357192277908,0.9125038981437683
51,0,51,1.0,0.9983967542648315,0,0,0.0,0.0,1.0,-0.0028918273746967316,0.0018164045177400112,0.9184542894363403
52,0,52,1.0,0.9970927238464355,0,0,0.0,0.0,1.0,-0.004521959461271763,0.0006943487678654492,0.957541823387146
53,0,53,1.0,0.9973450899124146,0,0,0.0,0.0,1.0,-0.004006467293947935,0.001098131644539535,0.9619650840759277
54,0,54,1.0,0.9975386261940002,0,0,0.0,0.0,1.0,-0.0042245592921972275,0.0010141036473214626,0.9724540710449219
55,0,55,1.0,0.9971942901611328,0,0,0.0,0.0,1.0,-0.004249220713973045,0.0013200013199821115,0.9785383343696594
56,0,56,1.0,0.9967014789581299,0,0,0.0,0.0,1.0,-0.004406830295920372,0.001195633434690535,0.9931299686431885
57,1,0,1.0,0.9969793558120728,0,0,0.0,0.0,0.0,-0.0016528050182387233,0.0010166434803977609,-0.019431833177804947
58,1,1,1.0,0.9971498250961304,0,0,0.0,0.0,0.0,-0.0016597387148067355,0.0010184029815718532,-0.01958911493420601
59,1,2,1.0,0.9970252513885498,0,0,0.0,0.0,0.0,-0.0015584778739139438,0.0009898794814944267,-0.019375238567590714
